# detector_id x y z
164 -229.936358 -107.221085 -179.639100
165 -227.542624 -112.211604 -179.639100
166 -225.040591 -117.148717 -179.639100
167 -222.431452 -122.030073 -179.639100
168 -219.716447 -126.853350 -179.639100
169 -216.896869 -131.616251 -179.639100
170 -213.974061 -136.316511 -179.639100
171 -210.949411 -140.951890 -179.639100
172 -207.824362 -145.520185 -179.639100
173 -204.600399 -150.019220 -179.639100
174 -201.279058 -154.446853 -179.639100
175 -197.861919 -158.800979 -179.639100
176 -194.350608 -163.079523 -179.639100
177 -190.746796 -167.280451 -179.639100
178 -187.052200 -171.401762 -179.639100
179 -183.268577 -175.441495 -179.639100
180 -179.397728 -179.397728 -179.639100
181 -175.441495 -183.268577 -179.639100
182 -171.401762 -187.052200 -179.639100
183 -167.280451 -190.746796 -179.639100
184 -163.079523 -194.350608 -179.639100
185 -158.800979 -197.861919 -179.639100
186 -154.446853 -201.279058 -179.639100
187 -150.019220 -204.600399 -179.639100
188 -145.520185 -207.824362 -179.639100
189 -140.951890 -210.949411 -179.639100
190 -136.316511 -213.974061 -179.639100
191 -131.616251 -216.896869 -179.639100
192 -126.853350 -219.716447 -179.639100
193 -122.030073 -222.431452 -179.639100
194 -117.148717 -225.040591 -179.639100
195 -112.211604 -227.542624 -179.639100
196 -107.221085 -229.936358 -179.639100
197 -102.179534 -232.220655 -179.639100
198 -97.089351 -234.394427 -179.639100
199 -91.952959 -236.456641 -179.639100
200 -86.772802 -238.406314 -179.639100
201 -81.551346 -240.242518 -179.639100
202 -76.291076 -241.964380 -179.639100
203 -70.994496 -243.571080 -179.639100
204 -65.664126 -245.061854 -179.639100
205 -60.302503 -246.435991 -179.639100
206 -54.912180 -247.692838 -179.639100
207 -49.495722 -248.831797 -179.639100
208 -44.055706 -249.852325 -179.639100
209 -38.594722 -250.753937 -179.639100
210 -33.115369 -251.536204 -179.639100
211 -27.620256 -252.198753 -179.639100
212 -22.111996 -252.741269 -179.639100
213 -16.593212 -253.163494 -179.639100
214 -11.066531 -253.465227 -179.639100
215 -5.534582 -253.646325 -179.639100
216 -0.000000 -253.706700 -179.639100
217 5.534582 -253.646325 -179.639100
218 11.066531 -253.465227 -179.639100
219 16.593212 -253.163494 -179.639100
220 22.111996 -252.741269 -179.639100
221 27.620256 -252.198753 -179.639100
222 33.115369 -251.536204 -179.639100
223 38.594722 -250.753937 -179.639100
224 44.055706 -249.852325 -179.639100
225 49.495722 -248.831797 -179.639100
226 54.912180 -247.692838 -179.639100
227 60.302503 -246.435991 -179.639100
228 65.664126 -245.061854 -179.639100
229 70.994496 -243.571080 -179.639100
230 76.291076 -241.964380 -179.639100
231 81.551346 -240.242518 -179.639100
232 86.772802 -238.406314 -179.639100
233 91.952959 -236.456641 -179.639100
234 97.089351 -234.394427 -179.639100
235 102.179534 -232.220655 -179.639100
236 107.221085 -229.936358 -179.639100
237 112.211604 -227.542624 -179.639100
238 117.148717 -225.040591 -179.639100
239 122.030073 -222.431452 -179.639100
240 126.853350 -219.716447 -179.639100
241 131.616251 -216.896869 -179.639100
242 136.316511 -213.974061 -179.639100
243 140.951890 -210.949411 -179.639100
244 145.520185 -207.824362 -179.639100
245 150.019220 -204.600399 -179.639100
246 154.446853 -201.279058 -179.639100
247 158.800979 -197.861919 -179.639100
248 163.079523 -194.350608 -179.639100
249 167.280451 -190.746796 -179.639100
250 171.401762 -187.052200 -179.639100
251 175.441495 -183.268577 -179.639100
252 179.397728 -179.397728 -179.639100
253 183.268577 -175.441495 -179.639100
254 187.052200 -171.401762 -179.639100
255 190.746796 -167.280451 -179.639100
256 194.350608 -163.079523 -179.639100
257 197.861919 -158.800979 -179.639100
258 201.279058 -154.446853 -179.639100
259 204.600399 -150.019220 -179.639100
260 207.824362 -145.520185 -179.639100
261 210.949411 -140.951890 -179.639100
262 213.974061 -136.316511 -179.639100
263 216.896869 -131.616251 -179.639100
264 219.716447 -126.853350 -179.639100
265 222.431452 -122.030073 -179.639100
266 225.040591 -117.148717 -179.639100
267 227.542624 -112.211604 -179.639100
268 229.936358 -107.221085 -179.639100
269 232.220655 -102.179534 -179.639100
270 234.394427 -97.089351 -179.639100
271 236.456641 -91.952959 -179.639100
272 238.406314 -86.772802 -179.639100
273 240.242518 -81.551346 -179.639100
274 241.964380 -76.291076 -179.639100
275 243.571080 -70.994496 -179.639100
276 245.061854 -65.664126 -179.639100
277 246.435991 -60.302503 -179.639100
278 247.692838 -54.912180 -179.639100
279 248.831797 -49.495722 -179.639100
280 249.852325 -44.055706 -179.639100
281 250.753937 -38.594722 -179.639100
282 251.536204 -33.115369 -179.639100
283 252.198753 -27.620256 -179.639100
284 252.741269 -22.111996 -179.639100
285 253.163494 -16.593212 -179.639100
286 253.465227 -11.066531 -179.639100
287 253.646325 -5.534582 -179.639100
288 253.706700 0.000000 -172.985800
289 253.646325 5.534582 -172.985800
290 253.465227 11.066531 -172.985800
291 253.163494 16.593212 -172.985800
292 252.741269 22.111996 -172.985800
293 252.198753 27.620256 -172.985800
294 251.536204 33.115369 -172.985800
295 250.753937 38.594722 -172.985800
296 249.852325 44.055706 -172.985800
297 248.831797 49.495722 -172.985800
298 247.692838 54.912180 -172.985800
299 246.435991 60.302503 -172.985800
300 245.061854 65.664126 -172.985800
301 243.571080 70.994496 -172.985800
302 241.964380 76.291076 -172.985800
303 240.242518 81.551346 -172.985800
304 238.406314 86.772802 -172.985800
305 236.456641 91.952959 -172.985800
306 234.394427 97.089351 -172.985800
307 232.220655 102.179534 -172.985800
308 229.936358 107.221085 -172.985800
309 227.542624 112.211604 -172.985800
310 225.040591 117.148717 -172.985800
311 222.431452 122.030073 -172.985800
312 219.716447 126.853350 -172.985800
