# detector_id x y z
133 -263.130341 -123.237717 109.993980
134 -261.239044 -127.197784 109.993980
135 -259.288147 -131.128830 109.993980
136 -257.278107 -135.029968 109.993980
137 -255.209366 -138.900299 109.993980
138 -253.082413 -142.738937 109.993980
139 -250.897720 -146.545029 109.993980
140 -248.655807 -150.317673 109.993980
141 -246.357162 -154.056030 109.993980
142 -244.002319 -157.759262 109.993980
143 -241.591812 -161.426483 109.993980
144 -239.126190 -165.056885 109.993980
145 -236.606018 -168.649643 109.993980
146 -234.031876 -172.203918 109.993980
147 -231.404343 -175.718918 109.993980
148 -228.724030 -179.193832 109.993980
149 -225.991531 -182.627869 109.993980
150 -223.207489 -186.020248 109.993980
151 -220.372513 -189.370178 109.993980
152 -217.487274 -192.676910 109.993980
153 -214.552429 -195.939697 109.993980
154 -211.568634 -199.157791 109.993980
155 -208.536575 -202.330444 109.993980
156 -205.456940 -205.456940 109.993980
157 -202.330444 -208.536575 109.993980
158 -199.157791 -211.568634 109.993980
159 -195.939697 -214.552429 109.993980
160 -192.676910 -217.487274 109.993980
161 -189.370178 -220.372513 109.993980
162 -186.020248 -223.207489 109.993980
163 -182.627869 -225.991531 109.993980
164 -179.193832 -228.724030 109.993980
165 -175.718918 -231.404343 109.993980
166 -172.203918 -234.031876 109.993980
167 -168.649643 -236.606018 109.993980
168 -165.056885 -239.126190 109.993980
169 -161.426483 -241.591812 109.993980
170 -157.759262 -244.002319 109.993980
171 -154.056030 -246.357162 109.993980
172 -150.317673 -248.655807 109.993980
173 -146.545029 -250.897720 109.993980
174 -142.738937 -253.082413 109.993980
175 -138.900299 -255.209366 109.993980
176 -135.029968 -257.278107 109.993980
177 -131.128830 -259.288147 109.993980
178 -127.197784 -261.239044 109.993980
179 -123.237717 -263.130341 109.993980
180 -119.249542 -264.961609 109.993980
181 -115.234161 -266.732452 109.993980
182 -111.192497 -268.442444 109.993980
183 -107.125465 -270.091187 109.993980
184 -103.033997 -271.678314 109.993980
185 -98.919022 -273.203491 109.993980
186 -94.781479 -274.666321 109.993980
187 -90.622322 -276.066498 109.993980
188 -86.442490 -277.403687 109.993980
189 -82.242935 -278.677612 109.993980
190 -78.024620 -279.887970 109.993980
191 -73.788506 -281.034454 109.993980
192 -69.535561 -282.116852 109.993980
193 -65.266747 -283.134888 109.993980
194 -60.983051 -284.088318 109.993980
195 -56.685444 -284.976959 109.993980
196 -52.374905 -285.800598 109.993980
197 -48.052414 -286.559021 109.993980
198 -43.718967 -287.252106 109.993980
199 -39.375542 -287.879639 109.993980
200 -35.023136 -288.441498 109.993980
201 -30.662743 -288.937561 109.993980
202 -26.295353 -289.367706 109.993980
203 -21.921965 -289.731842 109.993980
204 -17.543575 -290.029877 109.993980
205 -13.161185 -290.261780 109.993980
206 -8.775792 -290.427429 109.993980
207 -4.388396 -290.526855 109.993980
208 -0.000000 -290.559998 109.993980
209 4.388396 -290.526855 109.993980
210 8.775792 -290.427429 109.993980
211 13.161185 -290.261780 109.993980
212 17.543575 -290.029877 109.993980
213 21.921965 -289.731842 109.993980
214 26.295353 -289.367706 109.993980
215 30.662743 -288.937561 109.993980
216 35.023136 -288.441498 109.993980
217 39.375542 -287.879639 109.993980
218 43.718967 -287.252106 109.993980
219 48.052414 -286.559021 109.993980
220 52.374905 -285.800598 109.993980
221 56.685444 -284.976959 109.993980
222 60.983051 -284.088318 109.993980
223 65.266747 -283.134888 109.993980
224 69.535561 -282.116852 109.993980
225 73.788506 -281.034454 109.993980
226 78.024620 -279.887970 109.993980
227 82.242935 -278.677612 109.993980
228 86.442490 -277.403687 109.993980
229 90.622322 -276.066498 109.993980
230 94.781479 -274.666321 109.993980
231 98.919022 -273.203491 109.993980
232 103.033997 -271.678314 109.993980
233 107.125465 -270.091187 109.993980
234 111.192497 -268.442444 109.993980
235 115.234161 -266.732452 109.993980
236 119.249542 -264.961609 109.993980
237 123.237717 -263.130341 109.993980
238 127.197784 -261.239044 109.993980
239 131.128830 -259.288147 109.993980
240 135.029968 -257.278107 109.993980
241 138.900299 -255.209366 109.993980
